Threshold,Erode,Dilate,Score,FPS
13,10,3,62.8119,0.318382
13,10,4,62.7894,0.374197
13,10,5,64.5464,0.406285
13,10,6,61.9154,0.414147
13,10,7,38.0422,0.588174
13,10,8,54.8514,0.462527
13,10,9,56.6218,0.428566
13,10,10,65.461,0.395547
25,1,1,63.6962,0.327974
25,1,2,64.5766,0.337777
25,1,3,66.338,0.408075
25,1,4,64.5641,0.420371
25,1,5,66.3252,0.452616
25,1,6,65.4352,0.464791
25,1,7,70.7278,0.493148
25,1,8,64.506,0.480565
25,1,9,34.5133,0
25,1,10,34.5133,0
25,2,1,64.5853,0.324694
25,2,2,61.9253,0.338091
25,2,3,66.3475,0.343988
25,2,4,65.4635,0.394622
25,2,5,63.683,0.421045
25,2,6,63.6742,0.45238
25,2,7,68.0853,0.46756
25,2,8,70.7273,0.489835
25,2,9,34.5133,0
25,2,10,34.5133,0
25,3,1,64.575,0.318256
25,3,2,63.7017,0.331097
25,3,3,61.9199,0.341369
25,3,4,64.5729,0.343361
25,3,5,65.4618,0.399929
25,3,6,66.3366,0.424876
25,3,7,67.2052,0.44305
25,3,8,64.5422,0.448751
25,3,9,72.4997,0.459667
25,3,10,34.5133,0
25,4,1,65.4561,0.309572
25,4,2,63.681,0.310073
25,4,3,63.7021,0.33649
25,4,4,61.9247,0.348217
25,4,5,64.5831,0.366919
25,4,6,66.3528,0.414193
25,4,7,65.4532,0.429217
25,4,8,66.3103,0.435789
25,4,9,66.3146,0.441406
25,4,10,62.7729,0.447951
25,5,1,62.8113,0.321388
25,5,2,63.6972,0.341142
25,5,3,61.9166,0.322691
25,5,4,65.4681,0.328431
25,5,5,61.9274,0.341545
25,5,6,67.2312,0.352157
25,5,7,65.4657,0.402766
25,5,8,66.3377,0.425244
25,5,9,63.6729,0.417143
25,5,10,65.4285,0.433133
25,6,1,58.3495,0.306732
25,6,2,61.036,0.335541
25,6,3,55.7052,0.358446
25,6,4,63.6946,0.347297
25,6,5,64.5823,0.302835
25,6,6,61.9138,0.356119
25,6,7,62.8147,0.348701
25,6,8,67.2357,0.374842
25,6,9,67.2231,0.390882
25,6,10,64.5565,0.39835
25,7,1,63.6937,0.295216
25,7,2,65.4587,0.290997
25,7,3,48.6489,0.371992
25,7,4,63.6795,0.337757
25,7,5,61.0394,0.332197
25,7,6,66.3564,0.342383
25,7,7,61.9218,0.36123
25,7,8,63.7015,0.349175
25,7,9,66.3465,0.344554
25,7,10,64.5626,0.387477
25,8,1,64.5726,0.264185
25,8,2,65.4596,0.26967
25,8,3,61.9115,0.30172
25,8,4,59.2448,0.349975
25,8,5,28.3037,0.481794
25,8,6,61.0198,0.337808
25,8,7,64.5854,0.325442
25,8,8,60.151,0.353092
25,8,9,65.4704,0.333836
25,8,10,66.3364,0.340331
25,9,1,62.8053,0.260711
25,9,2,64.5677,0.254258
25,9,3,61.031,0.288464
25,9,4,61.9185,0.306907
25,9,5,36.2638,0.475109
25,9,6,61.9141,0.319408
25,9,7,64.5786,0.316225
25,9,8,66.3521,0.326147
25,9,9,64.5712,0.339207
25,9,10,64.5869,0.334438
25,10,1,66.3471,0.255327
25,10,2,64.5749,0.251318
25,10,3,59.2576,0.269864
25,10,4,64.5618,0.285917
25,10,5,61.9009,0.320813
25,10,6,64.5613,0.311931
25,10,7,55.724,0.342819
25,10,8,66.3335,0.301567
25,10,9,64.5816,0.297564
25,10,10,61.92,0.335043
37,1,1,64.573,0.270814
37,1,2,65.4641,0.305282
37,1,3,63.6778,0.328823
37,1,4,63.6761,0.351401
37,1,5,61.8963,0.375528
37,1,6,65.4384,0.389159
37,1,7,63.6636,0.417838
37,1,8,67.9641,0.427383
37,1,9,34.5133,0
37,1,10,34.5133,0
37,2,1,66.3502,0.277192
37,2,2,66.3406,0.295595
37,2,3,66.3476,0.306549
37,2,4,65.4449,0.333176
37,2,5,64.57,0.363531
37,2,6,61.8983,0.384759
37,2,7,64.5494,0.393536
37,2,8,62.7798,0.414694
37,2,9,61.0076,0.413798
37,2,10,34.5133,0
37,3,1,66.3358,0.28842
37,3,2,63.6967,0.29022
37,3,3,63.6889,0.298051
37,3,4,62.8133,0.311956
37,3,5,65.4526,0.339309
37,3,6,64.5613,0.350997
37,3,7,61.9044,0.383753
37,3,8,65.4352,0.385705
37,3,9,62.773,0.394622
37,3,10,65.4224,0.402092
37,4,1,62.803,0.277928
37,4,2,63.6755,0.280543
37,4,3,65.4673,0.284778
37,4,4,64.5728,0.309318
37,4,5,65.4701,0.307986
37,4,6,63.6847,0.33986
37,4,7,63.6834,0.354788
37,4,8,61.9039,0.363625
37,4,9,65.4359,0.369547
37,4,10,68.9702,0.393756
37,5,1,62.802,0.299449
37,5,2,63.6873,0.282946
37,5,3,64.5644,0.28219
37,5,4,69.0039,0.278311
37,5,5,66.3514,0.295533
37,5,6,65.4663,0.316837
37,5,7,64.5754,0.342715
37,5,8,65.4512,0.33663
37,5,9,61.9006,0.334944
37,5,10,64.5536,0.330265
37,6,1,66.321,0.28633
37,6,2,64.5711,0.292632
37,6,3,63.6731,0.300492
37,6,4,66.3507,0.294824
37,6,5,65.4693,0.289513
37,6,6,63.6943,0.302082
37,6,7,65.4559,0.316971
37,6,8,63.6874,0.32641
37,6,9,64.5632,0.323819
37,6,10,63.6712,0.333009
37,7,1,67.2146,0.267715
37,7,2,64.5618,0.255998
37,7,3,68.1076,0.29575
37,7,4,61.9206,0.289974
37,7,5,57.497,0.317996
37,7,6,64.5799,0.287137
37,7,7,62.8075,0.307542
37,7,8,65.4528,0.307793
37,7,9,64.5695,0.319074
37,7,10,64.5703,0.317362
37,8,1,67.2143,0.244351
37,8,2,63.685,0.255183
37,8,3,67.2141,0.267026
37,8,4,61.0192,0.314483
37,8,5,65.4523,0.26738
37,8,6,60.1465,0.308904
37,8,7,66.351,0.290982
37,8,8,62.7876,0.294011
37,8,9,65.4572,0.290825
37,8,10,65.4434,0.315325
37,9,1,65.4589,0.247476
37,9,2,65.4554,0.241541
37,9,3,63.6795,0.256771
37,9,4,65.4507,0.278579
37,9,5,62.7979,0.269048
37,9,6,63.6747,0.260465
37,9,7,65.4529,0.279419
37,9,8,64.5775,0.288273
37,9,9,63.6871,0.293552
37,9,10,64.5732,0.296674
37,10,1,64.5577,0.237255
37,10,2,66.346,0.228025
37,10,3,64.5741,0.258463
37,10,4,61.0283,0.255044
37,10,5,63.6733,0.256457
37,10,6,64.5557,0.250332
37,10,7,65.438,0.252198
37,10,8,62.8071,0.275502
37,10,9,64.5744,0.274372
37,10,10,64.5705,0.291967
49,1,1,65.448,0.210719
49,1,2,67.2041,0.259371
49,1,3,66.3401,0.268065
49,1,4,65.4339,0.282401
49,1,5,65.4387,0.330903
49,1,6,65.432,0.334191
49,1,7,59.2403,0.354788
49,1,8,65.43,0.360424
49,1,9,62.7762,0.364634
49,1,10,60.9809,0.371088
49,2,1,65.455,0.219069
49,2,2,65.4408,0.229913
49,2,3,66.3351,0.266127
49,2,4,62.7777,0.305504
49,2,5,62.7793,0.303103
49,2,6,62.78,0.339829
49,2,7,62.7796,0.343058
49,2,8,68.0807,0.352244
49,2,9,62.7767,0.359266
49,2,10,64.5389,0.342455
49,3,1,65.4523,0.228935
49,3,2,65.4467,0.227827
49,3,3,65.4533,0.233071
49,3,4,63.6773,0.268211
49,3,5,62.7848,0.294056
49,3,6,62.7822,0.307961
49,3,7,65.4375,0.348787
49,3,8,61.8956,0.343789
49,3,9,59.2442,0.322765
49,3,10,65.431,0.33666
49,4,1,64.5693,0.230124
49,4,2,65.4435,0.229395
49,4,3,65.4496,0.230589
49,4,4,65.4453,0.240216
49,4,5,64.5598,0.266214
49,4,6,65.412,0.288884
49,4,7,60.1309,0.300924
49,4,8,66.3212,0.337434
49,4,9,68.0865,0.333245
49,4,10,61.8936,0.319633
49,5,1,62.7939,0.242094
49,5,2,65.4682,0.245513
49,5,3,64.5724,0.230363
49,5,4,65.4548,0.23655
49,5,5,65.4458,0.239829
49,5,6,64.5568,0.257046
49,5,7,65.4449,0.276128
49,5,8,62.7798,0.277029
49,5,9,61.9022,0.31627
49,5,10,65.4372,0.322664
49,6,1,63.6801,0.239316
49,6,2,63.6806,0.242666
49,6,3,63.6717,0.238618
49,6,4,67.2188,0.241598
49,6,5,64.569,0.236912
49,6,6,64.5613,0.240507
49,6,7,66.3183,0.264985
49,6,8,63.6667,0.291628
49,6,9,62.783,0.282021
49,6,10,64.535,0.324974
49,7,1,63.6805,0.225118
49,7,2,65.4409,0.241175
49,7,3,65.4459,0.246112
49,7,4,63.6734,0.255754
49,7,5,65.4428,0.242058
49,7,6,65.4514,0.242442
49,7,7,64.5587,0.243058
49,7,8,65.4352,0.26823
49,7,9,67.2099,0.263545
49,7,10,65.4338,0.271981
49,8,1,66.3376,0.220514
49,8,2,64.5559,0.22149
49,8,3,63.8134,0.234591
49,8,4,62.7865,0.257438
49,8,5,64.5668,0.241262
49,8,6,63.6675,0.241216
49,8,7,62.7896,0.244293
49,8,8,65.4427,0.233119
49,8,9,66.321,0.245359
49,8,10,63.6651,0.253409
49,9,1,64.5602,0.218244
49,9,2,66.335,0.218751
49,9,3,64.5639,0.232295
49,9,4,64.5567,0.248833
49,9,5,63.6808,0.248003
49,9,6,63.6691,0.224002
49,9,7,64.5689,0.249003
49,9,8,64.5541,0.230039
49,9,9,63.6467,0.235093
49,9,10,65.4379,0.244462
49,10,1,65.4489,0.214068
49,10,2,63.6881,0.217337
49,10,3,65.4498,0.216214
49,10,4,64.571,0.233891
49,10,5,64.5443,0.234347
49,10,6,65.4352,0.227108
49,10,7,63.6695,0.233862
49,10,8,63.6845,0.247525
49,10,9,68.1107,0.226766
49,10,10,65.4499,0.238306
61,1,1,64.5683,0.18334
61,1,2,63.6803,0.212574
61,1,3,63.6755,0.234119
61,1,4,64.563,0.253352
61,1,5,63.669,0.262772
61,1,6,65.435,0.278682
61,1,7,64.5375,0.304221
